Title	Authors	Pdf	Presentation	Pages	Volume_Name	Notes
Description of panel	Violetta Cavalli-Sforza	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Cavalli-Sforza-2.pdf			Panels	Panels
Meadan global dialogue	Ed Bice	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Bice.pdf			Panels	Panels
The social impact of online MT	Federico Gaspari	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Gaspari-2.pdf			Panels	Panels
Social impact of MT	Jennifer DeCamp	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-DeCamp.pdf			Panels	Panels
MT for social impact	Michael McCord	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-McCord.pdf			Panels	Panels
The social impact of translation via SMS	Rami B. Safadi	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Safadi.pdf			Panels	Panels
Description of panel: Hybrid machine translation: why and how?	Violetta Cavalli-Sforza and Alon Lavie	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Cavalli-Sforza-1.pdf			Panels	Panels
Introduction		https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-HybridMT-introd.pdf			Panels	Panels
Presentation	Jaime Carbonell	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Carbonell-2.pdf			Panels	Panels
Presentation	Nizar Habash	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Habash-2.pdf			Panels	Panels
Statistical machine translation and hybrid machine translation	Philipp Koehn	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Koehn.pdf			Panels	Panels
Combining interlingua with SMT	Stephanie Seneff	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Seneff-2.pdf			Panels	Panels
First strategies for integrating hybrid approaches into established systems	Jean Senellart and John S. White	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Senellart.pdf			Panels	Panels
