Title	Authors	Pdf	Presentation	Pagenumbers	Volume_Name	Notes
Guarani: A Case Study in Resource Development for Quick Ramp-Up MT	Ahmed Abdelali and James Cowie and Steve Helmreich and Wanying Jin and Maria Pilar Milagros and Bill Ogden and Mansouri Rad and Ron Zacharski	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Abdelali.pdf		1-9		
Constraining the Phrase-Based, Joint Probability Statistical Translation Model	Alexandra Birch and Chris Callison-Burch and Miles Osborne	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Birch.pdf		10-18		
Context-Based Machine Translation	Jaime Carbonell and Steve Klein and David Miller and Mike Steinbaum and Tomer Grassiany and Jochen Frei	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Carbonell.pdf		19-28		
Integration of POStag-based Source Reordering into SMT Decoding by an Extended Search Graph	Josep M.Crego and José B.Mariño	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Crego.pdf		29-36		
Better Learning and Decoding for Syntax Based SMT Using PSDIG	Yuan Ding and Martha Palmer	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Ding.pdf		37-45		
The Added Value of Free Online MT Services	Federico Gaspari	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Gaspari.pdf		46-55		
Challenges in Building an Arabic-English GHMT System with SMT Components	Nizar Habash and Bonnie Dorr and Christof Monz	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Habash.pdf		56-65		
Statistical Syntax-Directed Translation with Extended Domain of Locality	Liang Huang and Kevin Knight and Aravind Joshi	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Huang.pdf		66-73		
Corpus Variations for Translation Lexicon Induction	Rebecca Hwa and Carol Nichols and Khalil Sima'an	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Hwa.pdf		74-81		
Toward an Interagency Language Roundtable Based Assessment of Speech-to-Speech Translation Capabilities	Douglas Jones and Timothy Anderson and Sabine Atwell and Brian Delaney and James Dirgin and Michael Emots and Neil Granoein and Martha Herzog and Timothy Hunter and Sargon Jabri and Wade Shen and Jurgen Sottung	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Jones.pdf		82-89		
Word-Based Alignment, Phrase-Based Translation: What's the Link?	Adam Lopez and Philip Resnik	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Lopez.pdf		90-99		
Translation of Multiword Expressions Using Parallel Suffix Arrays	Paul McNamee and James Mayfield	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-McNamee.pdf		100-109		
Multi-Engine Machine Translation by Recursive Sentence Decomposition	Bart Mellebeek and Karolina Owczarzak and Josef Van Genabith and Andy Way	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Mellebeek.pdf		110-118		
Toward Communicating Simple Sentences Using Pictorial Representations	Rada Mihalcea and Ben Leong	https://aclanthology.org/www.mt-archive.info/05/AMTA-2006-Mihalcea.pdf		119-127		
