Title	Authors	Pdf	Presentation	Volume_Name
Frontmatter		https://aclanthology.org/www.mt-archive.info/05/AMTA-2008-prefaces.pdf		
Spanish-to-Basque MultiEngine Machine Translation for a Restricted Domain	Iñaki Alegria and Arantza Casillas and Diaz de Ilarraza, Arantza and Jon Igartua and Gorka Labaka and Mikel Lersundi and Aingeru Mayor and Kepa SarasolaIñaki, Alegria and Arantza Casillas and Diaz de Ilarraza, Arantza and Jon Igartua and Gorka Labaka and Mikel Lersundi and Aingeru Mayor and Kepa Sarasola	https://aclanthology.org/www.mt-archive.info/05/AMTA-2008-Alegria.pdf		MT Research
Exploiting Document-Level Context for Data-Driven Machine Translation	Ralf Brown	https://aclanthology.org/www.mt-archive.info/05/AMTA-2008-Brown.pdf		MT Research
Shallow-Syntax Phrase-Based Translation: Joint versus Factored String-to-Chunk Models	Mauro Cettolo and Marcello Federico and Daniele Pighin and Nicola Bertoldi	https://aclanthology.org/www.mt-archive.info/05/AMTA-2008-Cettolo.pdf		MT Research
Discriminative, Syntactic Language Modeling through Latent SVMs	Colin Cherry and Chris Quirk	https://aclanthology.org/www.mt-archive.info/05/AMTA-2008-Cherry.pdf		MT Research
Translation universals: do they exist? A corpus-based NLP study of convergence and simplification	Corpas Pastor, Gloria and Ruslan Mitkov and Naveed Afzal and Viktor Pekar	https://aclanthology.org/www.mt-archive.info/05/AMTA-2008-Corpas.pdf		MT Research
Computing multiple weighted reordering hypotheses for a phrase-based statistical machine translation system	Costa-jussà, Marta R. and Fonollosa, José A. R.	https://aclanthology.org/www.mt-archive.info/05/AMTA-2008-Costa-jussa.pdf		MT Research
Overcoming Vocabulary Sparsity in MT Using Lattices	Steve DeNeefe and Ulf Hermjakob and Kevin Knight	https://aclanthology.org/www.mt-archive.info/05/AMTA-2008-DeNeefe.pdf		MT Research
Toward the Evaluation of Machine Translation Using Patent Information	Atsushi Fujii and Masao Utiyama and Mikio Yamamoto and Takehito Utsuro	https://aclanthology.org/www.mt-archive.info/05/AMTA-2008-Fujii.pdf		MT Research
Automatic Learning of Morphological Variations for Handling Out-of-Vocabulary Terms in Urdu-English MT	Nizar Habash and Hayden Metsky	https://aclanthology.org/www.mt-archive.info/05/AMTA-2008-Habash.pdf		MT Research
A Generalized Reordering Model for Phrase-Based Statistical Machine Translation	Yanqing He and Chengqing Zong	https://aclanthology.org/www.mt-archive.info/05/AMTA-2008-He.pdf		MT Research
A truly multilingual, high coverage, accurate, yet simple, subsentential alignment method	Adrien Lardilleux and Yves Lepage	https://aclanthology.org/www.mt-archive.info/05/AMTA-2008-Lardilleux.pdf		MT Research
Large-scale Discriminative n-gram Language Models for Statistical Machine Translation	Zhifei Li and Sanjeev Khudanpur	https://aclanthology.org/www.mt-archive.info/05/AMTA-2008-Li.pdf		MT Research
Are Multiple Reference Translations Necessary? Investigating the Value of Paraphrased Reference Translations in Parameter Optimization	Nitin Madnani and Philip Resnik and Dorr, Bonnie J. and Richard Schwartz	https://aclanthology.org/www.mt-archive.info/05/AMTA-2008-Madnani.pdf		MT Research
Integrating a Phrase-based SMT Model and a Bilingual Lexicon for Semi-Automatic Acquisition of Technical Term Translation Lexicons	Yohei Morishita and Takehito Utsuro and Mikio Yamamoto	https://aclanthology.org/www.mt-archive.info/05/AMTA-2008-Morishita.pdf		MT Research
Linguistically-motivated Tree-based Probabilistic Phrase Alignment	Toshiaki Nakazawa and Sadao Kurohashi	https://aclanthology.org/www.mt-archive.info/05/AMTA-2008-Nakazawa.pdf		MT Research
Parsers as language models for statistical machine translation	Matt Post and Daniel Gildea	https://aclanthology.org/www.mt-archive.info/05/AMTA-2008-Post.pdf		MT Research
A Statistical Analysis of Automated MT Evaluation Metrics for Assessments in Task-Based MT Evaluation	Calandra R. Tate	https://aclanthology.org/www.mt-archive.info/05/AMTA-2008-Tate.pdf		MT Research
Wider Pipelines: N-Best Alignments and Parses in MT Training	Ashish Venugopal and Andreas Zollmann and Smith, Noah A. and Stephan Vogel	https://aclanthology.org/www.mt-archive.info/05/AMTA-2008-Venugopal.pdf		MT Research
Improving English-to-Chinese Translation for Technical Terms using Morphological Information	Xianchao Wu and Naoaki Okazaki and Takashi Tsunakawa and Jun'ichi Tsujii	https://aclanthology.org/www.mt-archive.info/05/AMTA-2008-Wu-1.pdf		MT Research
Mining the Web for Domain-Specific Translations	Jian-Cheng Wu and Wei-Huai Hsu, Peter and Chiung-Hui Tseng and Chang, Jason S.	https://aclanthology.org/www.mt-archive.info/05/AMTA-2008-Wu-2.pdf		MT Research
Two-Stage Translation: A Combined Linguistic and Statistical Machine Translation Framework	Yushi Xu and Stephanie Seneff	https://aclanthology.org/www.mt-archive.info/05/AMTA-2008-Xu.pdf		MT Research
