Title	Authors	Pdf	Presentation	Notes
Statistical Machine Translation of English – Manipuri using Morpho-syntactic and Semantic Information	Singh, Thoudam Doren and Savaji Bandyopadhyay	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Doren.pdf		Student MT Research Papers 
A Synchronous Context Free Grammar using Dependency Sequence for Syntax-based Statistical Machine Translation	Hwidong Na and Jin-Ji Li and Yeha Lee and Jong-hyeok Lee	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Na.pdf		Student MT Research Papers 
Using Synonyms for Arabic-to-English Example-Based Translation	Kfir Bar and Nachum Dershowitz	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Bar.pdf		Student MT Research Papers 
Machine Translation between Hebrew and Arabic: Needs, Challenges and Preliminary Solutions	Reshef Shilon and Nizar Habash and Alon Lavie and Shuly Wintner	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Shilon.pdf		Student MT Research Papers 
Post-Editing Free Machine Translation: From a Language Vendor's Perspective	Luciana Ramos	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Ramos.pdf		Commercial MT Users Program
Practical uses of MT at Global Language Translations and Consulting: A case study of MT use for profit	Doug Strock	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Strock.pdf		Commercial MT Users Program
MT in the Enterprise Environment	John Dixon	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Dixon.pdf		Commercial MT Users Program
PangeaMT - putting open standards to work… well	E. Yuste and M. Herranz and A-L. Lagarda and L. Tarazón and I. Sánchez-Cortina and F. Casacuberta	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Yuste.pdf		Commercial MT Users Program
One technology, many solutions: MT at Adobe	Raymond Flournoy and Jeff Rueppel	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Flournoy.pdf		Commercial MT Users Program
Evaluating vendors for MT and post-editing at Avaya	Barbara Scott and Adriana Beaton	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Scott.pdf		Commercial MT Users Program
Scenarios for Customizing an SMT Engine Based on Availability of Data	Kirti Vashee and Rustin Gibbs	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Vashee.pdf		Commercial MT Users Program
Content Quality for Better MT: A Practical Guide to Quality at the Source	Jennifer Beaupre and Kent Taylor	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Beaupre.pdf		Commercial MT Users Program
Using Machine Translation for the Localization of Electronic Support Content: Evaluating End-User Satisfaction	Osamuyimen Stewart and David Lubensky and Scott Macdonald and Julie Marcotte	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Stewart.pdf		Commercial MT Users Program
Better translations with user collaboration – Integrated MT at Microsoft	Chris Wendt	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Wendt.pdf		Commercial MT Users Program
Where can MT be most successful and what are the best MT engines for various languages?	Jenny Lu	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Lu.pdf		Commercial MT Users Program
The “Moses for Localization” Open Source Project	Achim Ruopp	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Ruopp.pdf		Commercial MT Users Program
Effective MT within a Translation Workflow Panopticon	Sven Andrä and Jorg Shütz	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Andra.pdf		Commercial MT Users Program
PLuTO: MT for On-Line Patent Translation	John Tinsley and Andy Way and Páraic Sheridan	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Tinsley.pdf		Commercial MT Users Program
Sharing the Continental Airlines and SDL Post-Editing Experience	Adriana Beaton and Gabriela Contreras	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Beaton.pdf		Commercial MT Users Program
ProMT at PayPal: Enterprise-scale MT for financial industry content	Olga Beregovaya and Alex Yanishevsky	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Beregovaya.pdf		Commercial MT Users Program
Trusted Translations Deliver Compelling Results for the Travel Industry	Daniel Marcu			Commercial MT Users Program
