Title	Authors	Pdf	Presentation	Notes
Frontmatter		https://davidstap.github.io/caas14-frontmatter.pdf		
Translating English Discourse Connectives into Arabic: a Corpus-based Analysis and an Evaluation Metric	Najeh Hajlaoui and Andrei Popescu-Belis	https://davidstap.github.io/caas14-1.pdf		Workshop
Idiomatic MWEs and Machine Translation A Retrieval and Representation Model: the AraMWE Project	Giuliano Lancioni and Marco Boella	https://davidstap.github.io/caas14-2.pdf		Workshop
Developing an Open-domain English-Farsi Translation System Using AFEC: Amirkabir Bilingual Farsi-English Corpus	Fattaneh Jabbari and Somayeh Bakshaei and Mohammadzadeh Ziabary, Seyyed Mohammad and Shahram Khadivi	https://davidstap.github.io/caas14-3.pdf		Workshop
ARNE - A tool for Namend Entity Recognition from Arabic Text	Carolin Shihadeh and Günter Neumann	https://davidstap.github.io/caas14-4.pdf		Workshop
Approaches to Arabic Name Transliteration and Matching in the DataFlux Quality Knowledge Base	Kay, Brant N. and Rineer, Brian C.	https://davidstap.github.io/caas14-5.pdf		Workshop
Using Arabic Transliteration to Improve Word Alignment from French- Arabic Parallel Corpora	Houda Saadane and Ouafa Benterki and Nasredine Semmar and Christian Fluhr	https://davidstap.github.io/caas14-6.pdf		Workshop
Preprocessing Egyptian Dialect Tweets for Sentiment Mining	Amira Shoukry and Ahmed Rafea	https://davidstap.github.io/caas14-7.pdf		Workshop
Rescoring N-Best Hypotheses for Arabic Speech Recognition: A Syntax- Mining Approach	Dia AbuZeina and Moustafa Elshafei and Husni Al-Muhtaseb and Wasfi Al-Khatib	https://davidstap.github.io/caas14-8.pdf		Workshop
Morphological Segmentation and Part of Speech Tagging for Religious Arabic	Emad Mohamed	https://davidstap.github.io/caas14-9.pdf		Workshop
Exploiting Wikipedia as a Knowledge Base for the Extraction of Linguistic Resources: Application on Arabic-French Comparable Corpora and Bilingual Lexicons	Rahma Sellami and Fatiha Sadat and Hadrich Belguith, Lamia	https://davidstap.github.io/caas14-10.pdf		Workshop
