Title	Authors	Pdf	Presentation	Notes
Integrating MT with Digital Collections for Multilingual Information Access	Jiangping Chen and Olajumoke Agozu and Wenqian Zhao and Lien, Cheng Chieh and Ryan Knudson and Ying Zhang	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Chen.pdf		Commercial MT User Program
Linguists Love Art and Management Loves Efficiency – Can MT be the Solution?	Sachiyo Demizu and Mike Holland	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Demizu.pdf		Commercial MT User Program
Taking Statistical Machine Translation to the Student Translator	Stephen Doherty and Dorothy Kenny and Andy Way	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Doherty-1.pdf		Commercial MT User Program
A User-Based Usability Assessment of Raw Machine Translated Technical Instructions	Stephen Doherty and Sharon O’Brien	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Doherty-2.pdf		Commercial MT User Program
What’s Your Pick: RbMT, SMT or Hybrid?	Catherine Dove and Olga Loskutova and de la Fuente, Ruben	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Dove.pdf		Commercial MT User Program
Evaluation of Domain Adaptation Techniques for TRANSLI in a Real-World Environment	Atefeh Farzindar and Wael Khreich	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Farzindar.pdf		Commercial MT User Program
An LSP Perspective: Business & Process Challenges Implementing MT Solutions: Is MT Delivering Expected Value?	Rustin Gibbs and Joe DiDamo	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Gibbs.pdf		Commercial MT User Program
Translating User-Generated Content in the Social Networking Space	Jie Jiang and Andy Way and Rejwanul Haque	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Jiang-2.pdf		Commercial MT User Program
Managing Change when Implementing MT Systems	Michel Lopez	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Lopez.pdf		Commercial MT User Program
Beyond MT: Source Content Quality and Process Automation	Jenny Lu and Paladini Adell, Patricia	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Lu.pdf		Commercial MT User Program
Incremental Re-Training of a Hybrid English-French MT System with Customer Translation Memory Data	Evgeny Matusov	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Matusov.pdf		Commercial MT User Program
Multiplying the Potential of Crowdsourcing with Machine Translation	Victor Muntés-Mulero and Paladini Adell, Patricia and Marc Solé and Jawad Manzoor	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Muntes-Mulero.pdf		Commercial MT User Program
Machine Translation as a Global Enterprise Service at Ford	Craig Plesco and Nestor Rychtyckyi	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Plesco.pdf		Commercial MT User Program
Using the Microsoft Translator Hub at The Church of Jesus Christ of Latter-day Saints	Stephen D. Richardson	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Richardson.pdf		Commercial MT User Program
Automatic Speech Recognition & Hybrid MT for HQ Closed-Captioning & Subtitling for Video Broadcast	Hassan Sawaf	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Sawaf.pdf		Commercial MT User Program
Spoken Language Translation: Three Business Opportunities	Mark Seligman and Mike Dillinger	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Seligman.pdf		Commercial MT User Program
IPTranslator: Facilitating Patent Search with Machine Translation	John Tinsley and Alexandru Ceausu and Jian Zhang and Heidi Depraetere and Van de Walle, Joeri	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Tinsley.pdf		Commercial MT User Program
