Title	Authors	Pdf	Presentation	Notes
U.S. Army Machine Foreign Language Translation System (MFLTS) Capability Update and Review	Michael J. Beaulieu	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Beaulieu-ppt.pdf		Government MT User Program
Panel Discussion Topic: Return on Investment for Human Language Technology in the U.S. Government	Nicholas Bemish and Charles Simmons	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Bemish.pdf		Government MT User Program
Language and Translation Challenges in Social Media	Sean Colbath			Government MT User Program
Producing Data for Under-Resourced Languages: A Dari-English Parallel Corpus of Multi-Genre Text	Sherri Condon	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Condon.pdf		Government MT User Program
Machine Translation Revisited: An Operational Reality Check	Kathleen Egan			Government MT User Program
Sharpening the Claws on CAT Tools: Increase Quality & Production, Maximize Limited Resources	Jennifer Flather	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Flather-ppt.pdf		Government MT User Program
Strategies in Developing Engine-specific Chinese-English User Parallel Corpora	Weimin Jiang	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Jiang-1.pdf		Government MT User Program
Government Catalog of Language Resources (GCLR)	Judith Klavans			Government MT User Program
A New Method for Automatic Translation Scoring-HyTER	Daniel Marcu			Government MT User Program
Return on Investment for Government Human Language Technology Systems	Elaine Marsh			Government MT User Program
Evaluating Parallel Corpora: Assessing Utility in Government Translation Memory (TM) Systems	Erica Michael			Government MT User Program
The Conundrum of New Online Languages: Translating Arabic Chat	Joel Ross	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Ross-abs.pdf	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Ross-ppt.pdf	Government MT User Program
Reversing the Palladius Mapping of Chinese Names in Russian Text	Katherine Young	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Young.pdf	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Young-ppt.pdf	Government MT User Program
