Title	Authors	Pdf	Presentation	Notes
Hierarchical Phrase-Based MT for Phonetic Representation-Based Speech Translation	Zeeshan Ahmed and Jie Jiang and Julie Carson-Berndsen and Peter Cahill and Andy Way	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Ahmed.pdf		Oral Presentations
Identifying Infrequent Translations by Aligning Non Parallel Sentences	Julien Bourdaillet and Philippe Langlais	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Bourdaillet.pdf		Oral Presentations
Sample Selection for Large-scale MT Discriminative Training	Yuan Cao and Sanjeev Khudanpur	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Cao.pdf		Oral Presentations
One System, Many Domains: Open-Domain Statistical Machine Translation via Feature Augmentation	Jonathan Clark and Alon Lavie and Chris Dyer	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Clark.pdf		Oral Presentations
Identification of Fertile Translations in Comparable Corpora: A Morpho-Compositional Approach	Estelle Delpech and Béatrice Daille and Emmanuel Morin and Claire Lemaire	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Delpech.pdf		Oral Presentations
Challenges in Predicting Machine Translation Utility for Human Post-Editors	Michael Denkowski and Alon Lavie	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Denkowski.pdf		Oral Presentations
The Impact of Sentence Alignment Errors on Phrase-Based Machine Translation Performance	Cyril Goutte and Marine Carpuat and George Foster	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Goutte.pdf		Oral Presentations
Pivot Lightly-Supervised Training for Statistical Machine Translation	Matthias Huck and Hermann Ney	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Huck.pdf		Oral Presentations
Interpolated Backoff for Factored Translation Models	Philipp Koehn and Barry Haddow	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Koehn.pdf		Oral Presentations
Building MT for a Severely Under-Resourced Language: White Hmong	William Lewis and Phong Yang	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Lewis.pdf		Oral Presentations
Phrase-level System Combination for Machine Translation Based on Target-to-Target Decoding	Wei-Yun Ma and Kathleen McKeown	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Ma.pdf		Oral Presentations
Lost & Found in Translation: Impact of Machine Translated Results on Translingual Information Retrieval	Kristen Parton and Nizar Habash and Kathleen McKeown	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Parton.pdf		Oral Presentations
A Graph-based Strategy to Streamline Translation Quality Assessments	Daniele Pighin and Lluís Formiga and Lluís Màrquez	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Pighin.pdf		Oral Presentations
Machine Translation with Binary Feedback: a Large-Margin Approach	Avneesh Saluja and Ian Lane and Ying Zhang	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Saluja.pdf		Oral Presentations
HAL: Challenging Three Key Aspects of IBM-style Statistical Machine Translation	Christer Samuelsson	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Samuelsson.pdf		Oral Presentations
Compact Rule Extraction for Hierarchical Phrase-based Translation	Baskaran Sankaran and Gholamreza Haffari and Anoop Sarkar	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Sankaran.pdf		Oral Presentations
Non-linear n-best List Reranking with Few Features	Artem Sokolov and Guillaume Wisniewski and François Yvon	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Sokolov.pdf		Oral Presentations
Improved Domain Adaptation for Statistical Machine Translation	Wei Wang and Klaus Macherey and Wolfgang Macherey and Franz Och and Peng Xu	https://aclanthology.org/www.mt-archive.info/10/AMTA-2012-Wang.pdf		Oral Presentations
