Title	Authors	Pdf	Presentation	Notes
Frontmatter		https://davidstap.github.io/AMTA-2012-WPTP-frontmatter.pdf		WPTP Workshop
The CRITT TPR-DB 1.0: A Database for Empirical Human Translation Process Research	Michael Carl	https://davidstap.github.io/AMTA-2012-WPTP-1.pdf		WPTP Workshop
Post-editing time as a measure of cognitive effort	Maarit Koponen and Wilker Aziz and Luciana Ramos and Lucia Specia	https://davidstap.github.io/AMTA-2012-WPTP-2.pdf		WPTP Workshop
Average Pause Ratio as an Indicator of Cognitive Effort in Post-Editing: A Case Study	Isabel Lacruz and Shreve, Gregory M. and Erik Angelone	https://davidstap.github.io/AMTA-2012-WPTP-3.pdf		WPTP Workshop
Reliably Assessing the Quality of Post-edited Translation Based on Formalized Structured Translation Specifications	Melby, Alan K. and Jason Housley and Fields, Paul J. and Emily Tuioti	https://davidstap.github.io/AMTA-2012-WPTP-4.pdf		WPTP Workshop
Learning to Automatically Post-Edit Dropped Words in MT	Jacob Mundt and Kristen Parton and Kathleen McKeown	https://davidstap.github.io/AMTA-2012-WPTP-5.pdf		WPTP Workshop
SmartMATE: An Online End-To-End MT Post-Editing Framework	Sergio Penkale and Andy Way	https://davidstap.github.io/AMTA-2012-WPTP-6.pdf		WPTP Workshop
To post-edit or not to post-edit? Estimating the benefits of MT post-editing for a European organization	Alexandros Poulis and David Kolovratnik	https://davidstap.github.io/AMTA-2012-WPTP-7.pdf		WPTP Workshop
How Good Is Crowd Post-Editing? Its Potential and Limitations	Midori Tatsumi and Takako Aikawa and Kentaro Yamamoto and Hitoshi Isahara	https://davidstap.github.io/AMTA-2012-WPTP-8.pdf		WPTP Workshop
Error Detection for Post-editing Rule-based Machine Translation	Justina Valotkaite and Munshi Asadullah	https://davidstap.github.io/AMTA-2012-WPTP-9.pdf		WPTP Workshop
Machine Translation Infrastructure and Post-editing Performance at Autodesk	Ventsislav Zhechev	https://davidstap.github.io/AMTA-2012-WPTP-10.pdf		WPTP Workshop
