Title	Authors	Pdf	Presentation	Volume_Name	Notes
Present and future of machine translation systems — an introduction to the MT Summit —	Makoto Nagao	https://aclanthology.org/www.mt-archive.info/70/MTS-1987-Nagao.pdf			Opening Session
Expectations for Machine Translation	 Yukio Honda 	https://aclanthology.org/www.mt-archive.info/70/Nagao-1989-Honda.pdf			Greetings
The FGCS Project and Machine Translation Systems	Kazuhiro Fuchi 	https://aclanthology.org/www.mt-archive.info/70/MTS-1987-Fuchi.pdf			Keynotes
Prospects in Machine Translation	Hutchins, W. John	https://aclanthology.org/www.mt-archive.info/70/MTS-1987-Hutchins.pdf			Keynotes
SYSTRAN: A machine translation system to meet user needs	Ryan, Joann P.	https://aclanthology.org/www.mt-archive.info/70/MTS-1987-Ryan.pdf			Commercial MT Systems
Our experience in using SYSTRAN	Ryozo Akiyama and Arthur Andersens	https://aclanthology.org/www.mt-archive.info/MTS-1987-Akiyama.pdf			Commercial MT Systems
The METAL System. Status 1987	Thomas Schneider	https://aclanthology.org/www.mt-archive.info/70/MTS-1987-Schneider.pdf			Commercial MT Systems
Translation of Engineering Documentation with METAL	Raymond Shah	https://aclanthology.org/www.mt-archive.info/MTS-1987-Shah.pdf			Commercial MT Systems
Interlinugal MT - An Industrial Initiative	Toon Witkam	https://aclanthology.org/www.mt-archive.info/70/MTS-1987-Witkam.pdf			Commercial MT Systems
ATLAS: Fujitsu Machine Translation System	Hiroshi Uchida	https://aclanthology.org/www.mt-archive.info/70/MTS-1987-Uchida-2.pdf			Commercial MT Systems
Machine Translation System at Mazda	Norihiko Saeki	https://aclanthology.org/www.mt-archive.info/MTS-1987-Saeki.pdf			Commercial MT Systems
HICATS/JE: A Japanese-to-English Machine Translation System Based on Semantics	Hiroyuki Kaji	https://aclanthology.org/www.mt-archive.info/MTS-1987-Kaji.pdf			Commercial MT Systems
Applied Testing of HICATS/JE for Japanese Patent Abstracts	Tadaaki Oshio	https://aclanthology.org/www.mt-archive.info/MTS-1987-Oshio.pdf			Commercial MT Systems
TAURAS: The Toshiba Machine Translation System	Shin-ya Amano and Yoshinao Tsutsumi	https://aclanthology.org/www.mt-archive.info/70/MTS-1987-Amano.pdf			Commercial MT Systems
Computer Aided Translation System and Computerized Dictionary	Yoichi Yamaoka	https://aclanthology.org/www.mt-archive.info/MTS-1987-Yamaoka.pdf			Commercial MT Systems
PIVOT: Two-Phase Machine Translation System	Kazunori Muraki	https://aclanthology.org/www.mt-archive.info/70/MTS-1987-Muraki.pdf			Commercial MT Systems
The User-Developer Experience	Tatsuo Arai	https://aclanthology.org/www.mt-archive.info/MTS-1987-Arai.pdf			Commercial MT Systems
Summary of Remarks: Technical Prospects for MT	C. Boitet	https://aclanthology.org/www.mt-archive.info/MTS-1987-Boitet-2.pdf			Panel on technical prospects of MT
Interlingua - Technical Prospect of Interlingua -	Jaime G. Carbonell	https://aclanthology.org/www.mt-archive.info/Nagao-1989-Carbonell.pdf			Panel on technical prospects of MT
Machine Translation using Contextual Information	Shun Ishizaki	https://aclanthology.org/www.mt-archive.info/70/Nagao-1989-Ishizaki-2.pdf			Panel on technical prospects of MT
Machines and People in Translation	Martin Kay	https://aclanthology.org/www.mt-archive.info/Nagao-1989-Kay-1.pdf			Panel on technical prospects of MT
The Elimination of Obstacles to Machine Translation's Technical Prospects	Peter Toma	https://aclanthology.org/www.mt-archive.info/MTS-1987-Toma.pdf			Panel on technical prospects of MT
What is 'PIVOT'?	Jun-ichi Tsujii	https://aclanthology.org/www.mt-archive.info/MTS-1987-Tsujii-1.pdf			Panel on technical prospects of MT
Necessity for Interlingual for Multilingual Translation	Hiroshi Uchida	https://aclanthology.org/www.mt-archive.info/MTS-1987-Uchida-1.pdf		Panel on technical prospects of MT
Machine Translation Projects	Shun Ishizaki	https://aclanthology.org/www.mt-archive.info/Nagao-1989-Ishizaki-2.pdf		Current Status and Perspectives of Machine Translation
EUROTRA: The EEC R&D programme for the creation of a machine translation system of advanced design	Sergei Perschke	https://aclanthology.org/www.mt-archive.info/70/MTS-1987-Perschke.pdf		Current Status and Perspectives of Machine Translation
The ALVEY Japanese and English Machine Translation Project	F. Knowles and G. Jelinek and Mcgee Wood, M.	https://aclanthology.org/www.mt-archive.info/70/MTS-1987-Knowles.pdf		Current Status and Perspectives of Machine Translation
ESPRIT	M. Carpentier				Current Status and Perspectives of Machine Translation
Research and Development Project of Machine Translation System with Japan's Neighboring Countries	Yoshihide Tsuji 	https://aclanthology.org/www.mt-archive.info/70/MTS-1987-Tsuji.pdf		Current Status and Perspectives of Machine Translation
Current State and Future Outlook of the Research at GETA	C. Boitet	https://aclanthology.org/www.mt-archive.info/70/MTS-1987-Boitet-1.pdf		Current Status and Perspectives of Machine Translation
The Current Stage of the Mu-Project	Jun-ichi Tsujii	https://aclanthology.org/www.mt-archive.info/70/MTS-1987-Tsujii-2.pdf		Current Status and Perspectives of Machine Translation
CMU Project	Masaru Tomita and Carbonell, Jaime G.	https://aclanthology.org/www.mt-archive.info/70/Nagao-1989-Tomita.pdf		Current Status and Perspectives of Machine Translation
Research and Development of an Electronic Dictionary: Current Status and Future Plan	Naohiro Kakizaki https://aclanthology.org/www.mt-archive.info/70/MTS-1987-Kakizaki.pdf		Current Status and Perspectives of Machine Translation
Malaysian Governmental View of Machine Translation	Ainon Muhammad	https://aclanthology.org/www.mt-archive.info/MTS-1987-Muhammad.pdf		Panel on governmental views of machine translation
Governmental Views of MT for FRG	Czermak	https://aclanthology.org/www.mt-archive.info/MTS-1987-Czermak.pdf		Panel on governmental views of machine translation
Governmental Views of MT for Japan	Akira Kubota	https://aclanthology.org/www.mt-archive.info/Nagao-1989-Kubota.pdf		Panel on governmental views of machine translation
The Need of MT for Indonesia	Iman Sudarwo	https://aclanthology.org/www.mt-archive.info/MTS-1987-Sudarwo.pdf		Panel on governmental views of machine translation
The Machine Translation Researches and Governmental View in Korea	Changho Park and Kisik Lee	https://aclanthology.org/www.mt-archive.info/MTS-1987-Park.pdf		Panel on governmental views of machine translation
Governmental Views of MT for the Unitated States of America	Tamami Kusuda	https://aclanthology.org/www.mt-archive.info/Nagao-1989-Kusuda.pdf		Panel on governmental views of machine translation
MT: Application in Canada?	Ming Tsui	https://aclanthology.org/www.mt-archive.info/MTS-1987-Tsui.pdf		Panel on governmental views of machine translation
European Community Policy on MT	Loll Rolling	https://aclanthology.org/www.mt-archive.info/MTS-1987-Rolling.pdf		Panel on governmental views of machine translation
Governmental Views of MT for Italy	Antonio Zampolli	https://aclanthology.org/www.mt-archive.info/Nagao-1989-Zampolli.pdf		Panel on governmental views of machine translation
