Title	Authors	Pdf	Presentation	Volume_Name	Notes
Frontmatter		https://davidstap.github.io/fm-mtsummitII.pdf			Frontmatter
Two years after the MT Summit	Makoto Nagao	https://aclanthology.org/www.mt-archive.info/70/MTS-1989-Nagao.pdf			Keynote
The METAL System	Thomas Schneider	https://aclanthology.org/www.mt-archive.info/70/MTS-1989-Schneider.pdf			Operational MT systems
The SYSTRAN renaissance	Denis A. Gachot	https://aclanthology.org/www.mt-archive.info/70/MTS-1989-Gachot.pdf			Operational MT systems
The LOGOS system	Bernard E. Scott	https://aclanthology.org/www.mt-archive.info/70/MTS-1989-Scott.pdf			Operational MT systems
ATLAS	Hiroshi Uchida	https://aclanthology.org/www.mt-archive.info/70/MTS-1989-Uchida.pdf			Operational MT systems
Panel 1: Practical Experience in the Application of MT-Systems	Reiner Arntz	https://aclanthology.org/www.mt-archive.info/70/MTS-1989-Arntz.pdf			Panel 1: Practical experience in the application of MT systems
Panel 1: Practical Experience in the Application of MT-Systems	Gerhard Freibott	https://aclanthology.org/www.mt-archive.info/70/MTS-1989-Freibott.pdf			Panel 1: Practical experience in the application of MT systems
Panel 1: Practical Experience in the Application of MT-Systems	Loll Rolling	https://aclanthology.org/www.mt-archive.info/70/MTS-1989-Rolling.pdf			Panel 1: Practical experience in the application of MT systems
The place of MT in an in-house translation service	Muriel Vasconcellos	https://aclanthology.org/www.mt-archive.info/70/MTS-1989-Vasconcellos.pdf			Panel 1: Practical experience in the application of MT systems
Panel 1: Practical Experience in the Application of MT-Systems	G. Engel				Panel 1: Practical experience in the application of MT systems
Panel 1: Practical Experience in the Application of MT-Systems	Shigeru Sato	https://aclanthology.org/www.mt-archive.info/70/MTS-1989-Sato.pdf			Panel 1: Practical experience in the application of MT systems
Language control for effective utilization of HICATS/JE	Hiroyuki Kaji	https://aclanthology.org/www.mt-archive.info/70/MTS-1989-Kaji.pdf			Operational MT systems
The TAURAS design philosophy	D. Amano	https://aclanthology.org/www.mt-archive.info/70/MTS-1989-Amano.pdf			Operational MT systems
LMT	Michael McCord	https://aclanthology.org/www.mt-archive.info/70/MTS-1989-McCord.pdf			MT systems under development
The Rosetta project	Jan Landsbergen	https://aclanthology.org/www.mt-archive.info/70/MTS-1989-Landsbergen.pdf			MT systems under development
Outline of the JICST machine translation system	Tatsuo Ashizaki	https://aclanthology.org/www.mt-archive.info/70/MTS-1989-Ashizaki.pdf			MT systems under development
JFY-IV machine translation system	Zho Liu and Aiping Fu and Wei Li	https://aclanthology.org/www.mt-archive.info/70/MTS-1989-Liu.pdf			MT systems under development
Japanese view of the future of machine translation	Makoto Nagao	https://aclanthology.org/www.mt-archive.info/70/MTS-1989-Nagao-2.pdf			Special lecture:
Panel 2: Government Views of MT	Hussain, Haji Khalid M.	https://aclanthology.org/www.mt-archive.info/70/MTS-1989-Hussain.pdf			Panel 2: Government views of MT
Panel 2: Government views of MT	A. Kubota				Panel 2: Government views of MT
Machine translation in Saudi Arabia	Sieny, Mahmoud Esma'il	https://aclanthology.org/www.mt-archive.info/70/MTS-1989-Sieny.pdf			Panel 2: Government views of MT
Computational Linguistics and MT in Italy	Antonio Zampolli	https://aclanthology.org/www.mt-archive.info/70/MTS-1989-Zampolli.pdf			Panel 2: Government views of MT
Statements by Mr. C. N. Jansen van Rosendaal	Jansen van Rosendaal, C. N.	https://aclanthology.org/www.mt-archive.info/70/MTS-1989-Jansen%20van%20Rosendaal.pdf			Panel 2: Government views of MT
Needs, research and perspectives in Szwitzerland	Giovanni Coray	https://aclanthology.org/www.mt-archive.info/70/MTS-1989-Coray.pdf			Panel 2: Government views of MT
Promotion of MT in the public domain by the Federal Republic of Germany	Hans Billing	https://aclanthology.org/www.mt-archive.info/70/MTS-1989-Billing.pdf			Panel 2: Government views of MT
Research and development of cooperation project on a machine translation system for Japanese and its neighboring countries	Hozumi Tanaka and Shun Ishizaki and Akira Uehara and Hiroshi Uchida	https://aclanthology.org/www.mt-archive.info/70/MTS-1989-Tanaka.pdf			MT systems under development
KBMT-89 - A knowledge-based MT project at Carnegie Mellon University	Sergei Nirenburg	https://aclanthology.org/www.mt-archive.info/70/MTS-1989-Nirenburg.pdf			MT systems under development
EUROTRA	Sergei Perschke	https://aclanthology.org/www.mt-archive.info/70/MTS-1989-Perschke.pdf			MT systems under development
New Directions in MT Systems	Christian Rohrer	https://aclanthology.org/www.mt-archive.info/MTS-1989-Rohrer.pdf			Panel 3
Motivations, aims and architecture of the LIDIA project	C. Boitet	https://aclanthology.org/www.mt-archive.info/MTS-1989-Boitet.pdf			Panel 3
New directions in MT systems: a change in paradigm	Margaret King	https://aclanthology.org/www.mt-archive.info/MTS-1989-King.pdf			Panel 3
Research on automatic telephone interpretation	Akira Kurematsu	https://aclanthology.org/www.mt-archive.info/MTS-1989-Kurematsu.pdf			Panel 3
Towards reversible MT systems	Pierre Isabelle	https://aclanthology.org/www.mt-archive.info/MTS-1989-Isabelle.pdf			Panel 3
