Title	Authors	Pdf	Presentation	Volume_Name	Notes
U.S. Government Support and Use of Machine Translation: Current Status	Thomas R. Pedtke	https://aclanthology.org/www.mt-archive.info/90/MTS-1997-Pedtke.pdf			Part I: Papers
First steps in Mechanical Translation	John Hutchins	https://aclanthology.org/www.mt-archive.info/90/MTS-1997-Hutchins.pdf			Part I: Papers
The Origins of MT	Booth, Andrew D. and Booth, Kathleen H. V.	https://aclanthology.org/www.mt-archive.info/90/MTS-1997-Booth.pdf			Part I: Papers
Something Old and Something New	Victor H. Yngve	https://aclanthology.org/www.mt-archive.info/90/MTS-1997-Yngve.pdf			Part I: Papers
The Fulcrum Approach to Machine Translation	Christine A. Montgomery	https://aclanthology.org/www.mt-archive.info/90/MTS-1997-Montgomery.pdf			Part I: Papers
Let Me tell You How It Really Was	Michael Zarechnak	https://aclanthology.org/www.mt-archive.info/90/MTS-1997-Zarechnak.pdf			Part I: Papers
My First 30 Years with MT	Peter Toma	https://aclanthology.org/www.mt-archive.info/90/MTS-1997-Toma.pdf			Part I: Papers
MT at Texas: The Early Years	Lehmann, W.P.	https://aclanthology.org/www.mt-archive.info/90/MTS-1997-Lehmann.pdf			Part I: Papers
The Challenge of Keypunching for MT	Roger A. Heller	https://aclanthology.org/www.mt-archive.info/90/MTS-1997-Heller.pdf			Part I: Papers
The Emergence of MT in Europe	Loll Rolling	https://aclanthology.org/www.mt-archive.info/90/MTS-1997-Rolling.pdf			Part I: Papers
Machine Translation Through Language Understanding	Makoto Nagao	https://aclanthology.org/www.mt-archive.info/90/MTS-1997-Nagao.pdf			Part I: Papers
The Current State of Machine Translation	Somers, Harold L.	https://aclanthology.org/www.mt-archive.info/90/MTS-1997-Somers.pdf			Part I: Papers
Whither MT?	Bente Maegaard	https://aclanthology.org/www.mt-archive.info/90/MTS-1997-Maegaard.pdf			Part I: Papers
