Title	Authors	Pdf	Presentation	Volume_Name	Notes
The model of conceptual structure mapping: a psycholinguistic approach to interlingual representation	Dina Belyayeva	https://aclanthology.org/www.mt-archive.info/AMTA-1997-Belyayeva.pdf			Workshop
Associating semantic components with intersective Levin classes	Dang, Hoa Trang and Joseph Rosenzweig and Martha Palmer	https://aclanthology.org/www.mt-archive.info/AMTA-1997-Dang.pdf			Workshop
Spanish EuroWordNet and LCS-based interlingual MT	Dorr, Bonnie J. and Martí, M. Antonia and Irene Castellón	https://aclanthology.org/www.mt-archive.info/AMTA-1997-Dorr-1.pdf			Workshop
Toward compact monotonically compositional interlingua using lexical aspect	Dorr, Bonnie J. and Mari Broman Olsen and Thomas, Scott C.	https://aclanthology.org/www.mt-archive.info/AMTA-1997-Dorr-2.pdf			Workshop
On representing language-specific information in interlingua	David Farwell	https://aclanthology.org/www.mt-archive.info/AMTA-1997-Farwell.pdf			Workshop
Time to eat peaches: language-specific information in interlingua	Stephen Helmreich	https://aclanthology.org/www.mt-archive.info/AMTA-1997-Helmreich.pdf			Workshop
Improving the precision of lexicon-to-ontology alignment algorithms	Khan, Latifur R. and Hovy, Eduard H.	https://aclanthology.org/www.mt-archive.info/AMTA-1997-Khan.pdf			Workshop
Interlingua developed and utilized in real multilingual MT product systems	Shin-ichiro Kamei and Kazunori Muraki	https://aclanthology.org/www.mt-archive.info/AMTA-1997-Kamei.pdf			Workshop
Simplification of nomenclature leads to an ideal IL for human language communication	Young-Suk Lee and Clifford Weinstein and Dinesh Tummala and Linda Kukolich and Stephanie Seneff	https://aclanthology.org/www.mt-archive.info/AMTA-1997-Lee.pdf			Workshop
The use of pegs computational discourse framework as an interlingua representation	Susann Luperfoy and Keith Miller	https://aclanthology.org/www.mt-archive.info/AMTA-1997-Luperfoy.pdf			Workshop
EDR’s concept classification and description for interlingual representation	Hideo Miyoshi and Takano Ogino and Kenji Sugiyama	https://aclanthology.org/www.mt-archive.info/AMTA-1997-Miyoshi.pdf			Workshop
Enriching lexical transfer with cross-linguistic semantic features or how to do interlingua without interlingua	Alexis Nasr and Owen Rambow and Martha Palmer and Joseph Rosenzweig	https://aclanthology.org/www.mt-archive.info/AMTA-1997-Nasr.pdf			Workshop
Using WordNet to posit hierarchical structure in Levin’s verb classes	Olsen, Mari Broman and Dorr, Bonnie J. and Clark, David J.	https://aclanthology.org/www.mt-archive.info/AMTA-1997-Olsen.pdf			Workshop
