Title	Authors	Pdf	Presentation	Volume_Name	Notes
Alis Technologies Inc		https://aclanthology.org/www.mt-archive.info/90/MTS-1997-Alis-2.pdf			Part III: Exhibits
John Benjamins North America					Part III: Exhibits
CITAC Computer, Inc. 					Part III: Exhibits
EPI*USE Systems: TRANSLATOR MTK					Part III: Exhibits
ESTeam BTR		https://aclanthology.org/www.mt-archive.info/90/MTS-1997-ESTeam.pdf			Part III: Exhibits
Fujitsu Software Corporation: ATLAS for Windows V.4.0 JE/EJ		https://aclanthology.org/www.mt-archive.info/90/MTS-1997-Atlas.pdf			Part III: Exhibits
GMS		https://aclanthology.org/www.mt-archive.info/90/MTS-1997-GMS.pdf			Part III: Exhibits
IBT, Inc. 					Part III: Exhibits
Logos Corporation: Logos Translation System		https://aclanthology.org/www.mt-archive.info/90/MTS-1997-Logos.pdf			Part III: Exhibits
MCB Systems		https://aclanthology.org/www.mt-archive.info/90/MTS-1997-MCB.pdf			Part III: Exhibits
NeocorTech LLC		https://aclanthology.org/www.mt-archive.info/90/MTS-1997-Neocor.pdf			Part III: Exhibits
PAHO MT Systems: SPANAMâ and ENGSPANâ		https://aclanthology.org/www.mt-archive.info/90/MTS-1997-PAHO.pdf			Part III: Exhibits
SYSTRAN Software, Inc. 		https://aclanthology.org/www.mt-archive.info/90/MTS-1997-Systran.pdf			Part III: Exhibits
Toshiba Corporation: ASTRANSAC – Toshiba Machine Translation System		https://aclanthology.org/www.mt-archive.info/90/MTS-1997-Toshiba.pdf			Part III: Exhibits
USC Information Sciences Institute: GAZELLE – Using Statistics to Fill Knowledge Gaps in MT		https://aclanthology.org/www.mt-archive.info/90/MTS-1997-Knight.pdf			Part III: Exhibits
