Title	Authors	Pdf	Presentation	Volume_Name	Notes
Introduction to the workshop	Steven Krauwer	https://aclanthology.org/www.mt-archive.info/00/MTS-2001-RoadmapIntro.htm			Workshop
Four technical and organizational keys to handle more languages and improve quality (on demand) in MT	Christian Boitet	https://aclanthology.org/www.mt-archive.info/00/MTS-2001-Boitet.pdf			Workshop
Towards pragmatics-based machine translation	David Farwell and Stephen Helmreich	https://aclanthology.org/www.mt-archive.info/00/MTS-2001-Farwell.pdf			Workshop
Secondary benefits of feedback and user interaction in machine translation tools	Flournoy, Raymond S. and Chris Callison-Burch	https://aclanthology.org/www.mt-archive.info/00/MTS-2001-Flournoy.pdf			Workshop
Working toward success in machine translation	Laurie Gerber	https://aclanthology.org/www.mt-archive.info/00/MTS-2001-Gerber.pdf			Workshop
Rethinking interaction: the solution for high-quality MT?	Elliott Macklovitch and Valderrábanos, Antonio S.	https://aclanthology.org/www.mt-archive.info/00/MTS-2001-Macklovitch.pdf			Workshop
What can machine translation learn from speech recognition?	Och, Franz Josef and Hermann Ney	https://aclanthology.org/www.mt-archive.info/00/MTS-2001-Och-2.pdf			Workshop
Design and implementation of controlled elicitation for machine translation of low-density languages	Katharina Probst and Ralf Brown and Jaime Carbonell and Alon Lavie and Lori Levin and Erik Peterson	https://aclanthology.org/www.mt-archive.info/00/MTS-2001-Probst.pdf			Workshop
Blueprints for MT evolution: reflections on "Elements of style"	Jörg Schütz	https://aclanthology.org/www.mt-archive.info/00/MTS-2001-Schutz.pdf			Workshop
Evaluating Chinese-English translation systems for personal name coverage	Tsou, Benjamin K. and Kwong, Oi Yee	https://aclanthology.org/www.mt-archive.info/00/MTS-2001-Tsou.pdf			Workshop
