Title	Authors	Pdf	Presentation	Volume_Name	Notes
The Comprendium Translator system	Alonso, Juan A. and Gregor Thurmair				System Presentations
Language Weaver: the next generation of machine translation	Bryce Benjamin and Laurie Gerber and Kevin Knight and Daniel Marcu	https://aclanthology.org/www.mt-archive.info/00/MTS-2003-Benjamin.pdf			System Presentations
The Johns Hopkins University 2003 Chinese-English machine translation system	W. Byrne and S. Khudanpur and W. Kim and S. Kumar and P. Pecina and P. Virga and P. Xu and D. Yarowsky	https://aclanthology.org/www.mt-archive.info/00/MTS-2003-Byrne.pdf			System Presentations
SYSTRAN Review Manager	Jean-Cédric Costa and Christiane Panissod	https://aclanthology.org/www.mt-archive.info/00/MTS-2003-Costa.pdf			System Presentations
U.S. Government Foreign Language Resource Center	Jennifer DeCamp and Bob Bernier				System Presentations
MultiTrans system presentation: translation support and language management solutions	Dan Gervais	https://aclanthology.org/www.mt-archive.info/00/MTS-2003-Gervais.pdf			System Presentations
A multi-language translation example browser	Isao Goto and Naoto Kato and Noriyoshi Uratani and Terumasa Ehara and Tadashi Kumano and Hideki Tanaka	https://aclanthology.org/www.mt-archive.info/00/MTS-2003-Goto-2.pdf			System Presentations
Matador: Spanish-English GHMT	Nizar Habash	https://aclanthology.org/www.mt-archive.info/00/MTS-2003-Habash-2.pdf			System Presentations
CatVar: a database of categorial variations for English	Nizar Habash and Bonnie Dorr	https://aclanthology.org/www.mt-archive.info/00/MTS-2003-Habash-1.pdf			System Presentations
A system for Japanese/English/Korean multilingual patent retrieval	Mitsuharu Makita and Shigeto Higuchi and Atsushi Fujii and Tetsuya Ishikawa	https://aclanthology.org/www.mt-archive.info/00/MTS-2003-Makita.pdf			System Presentations
Implementation of collaborative translation environment 'Yakushite Net'	Toshiki Murata and Mihoko Kitamura and Tsuyoshi Fukui and Tatsuya Sukehiro	https://aclanthology.org/www.mt-archive.info/00/MTS-2003-Murata.pdf			System Presentations
LTC Communicator	Philippe Nozay and Adriane Rinsche	https://aclanthology.org/www.mt-archive.info/MTS-2003-Nozay.pdf			System Presentations
An integrated system for source language checking, analysis and term management	Eric Nyberg and Teruko Mitamura and David Svoboda and Jeongwoo Ko and Kathryn Baker and Jeffrey Micher	https://aclanthology.org/www.mt-archive.info/00/MTS-2003-Nyberg.pdf			System Presentations
MATS -- a glass box machine translation system	Sågvall Hein, Anna and Eva Forsbom and Per Weijnitz and Ebba Gustavii and Jörg Tiedemann	https://aclanthology.org/www.mt-archive.info/00/MTS-2003-Sagvall.pdf			System Presentations
AnglaHindi: an English to Hindi machine-aided translation system	Sinha, R. M. K. and A. Jain	https://aclanthology.org/www.mt-archive.info/00/MTS-2003-Sinha.pdf			System Presentations
TransType2 - a new paradigm for translation automation	Valderrábanos, Antonio S. and José Esteban and Luis Iraola	https://aclanthology.org/www.mt-archive.info/00/MTS-2003-Valderrabanos.pdf			System Presentations
Translation of words in context	Eric Wehrli	https://aclanthology.org/www.mt-archive.info/00/MTS-2003-Wehrli.pdf			System Presentations
