Title	Authors	Pdf	Presentation	Volume_Name	Notes
Reviewing Back the Past MT Summits	Makoto Nagao				Invited papers
Multilingual Information Service System for the Beijing Olympics, a Playground of MT Technologies	Weiquan Liu	https://aclanthology.org/www.mt-archive.info/05/MTS-2005-Liu-2.pdf			Invited papers
Commercial Language Technology in the Age of Open Source	Rose Lockwood				Invited papers
Global Public Health Intelligence Network (GPHIN)	Abla Mawudeku and Michael Blench	https://aclanthology.org/www.mt-archive.info/05/MTS-2005-Mawudeku.pdf			Invited papers
One Decade of Statistical Machine Translation: 1996-2005	Hermann Ney	https://aclanthology.org/www.mt-archive.info/05/MTS-2005-Ney.pdf			Invited papers
Japan’s IT Strategy	Toru Yamauchi				Invited papers
Introduction to China’s HTRDP Machine Translation Evaluation	Qun Liu and Hongxu Hou and Shouxun Lin and Yueliang Qian and Yujie Zhang and Hitoshi Isahara	https://aclanthology.org/www.mt-archive.info/05/MTS-2005-Liu-3.pdf			Invited papers
Phrase-Based Statistical Machine Translation for MANOS System	Bo Xu and Z.B.Chen and W.Wei and W.Pan and Z.D.Yang	https://aclanthology.org/www.mt-archive.info/05/MTS-2005-Xu.pdf			Invited papers
Improving Machine Translation Quality	Gregor Thurmair	https://aclanthology.org/www.mt-archive.info/05/MTS-2005-Thurmair.pdf			Invited papers
Research & Development of Multi-lingual Machine Translation and Applications	Huang Heyan	https://aclanthology.org/www.mt-archive.info/05/MTS-2005-Huang.pdf			Invited papers
Intercultural Collaboration using Machine Translation	Toru Ishida	https://aclanthology.org/www.mt-archive.info/05/MTS-2005-Ishida.pdf			Invited papers
