Title	Authors	Pdf	Presentation	Volume_Name	Notes
Tracing Translations in the Making	Elliott Macklovitch and Ngoc Tran Nguyen and Guy Lapalme	https://aclanthology.org/www.mt-archive.info/05/MTS-2005-Macklovitch.pdf			Posters
Thai Word Segmentation a Lexical Semantic Approach	Krisda Khankasikam and Nuttanart Muansuwqan	https://aclanthology.org/www.mt-archive.info/05/MTS-2005-Khankasikam.pdf			Posters
Japanese Language Analaysis for Syntactic Tree Mining to Extract Characteristic Contents	Yohsuke Sakao and Takahiro Ikeda and Kenji Satoh and Susumu Akamine	https://aclanthology.org/www.mt-archive.info/05/MTS-2005-Sakao.pdf			Posters
Divergence Patterns in Machine Translation between Hindi and English	R. Mahesh K. Sinha and Anil Thakur	https://aclanthology.org/www.mt-archive.info/05/MTS-2005-Sinha-3.pdf			Posters
Language and Encoding Scheme Identification of Extremely Large Sets of Multilingual Text	Pavol Zavarsky and Yoshiki Mikami and Shota Wada	https://aclanthology.org/www.mt-archive.info/05/MTS-2005-Zavarsky.pdf			Posters
Handling ki in Hindi for Hindi-English MT	R. Mahesh K. Sinha and Anil Thakur	https://aclanthology.org/www.mt-archive.info/05/MTS-2005-Sinha-4.pdf			Posters
Improving Translation Memory with Word Alignment Information	Hua Wu and Haifeng Wang and Zhanyi Liu and Kai Tang	https://aclanthology.org/www.mt-archive.info/05/MTS-2005-Wu-2.pdf			Posters
A Phrasal EBMT System for Translating English to Bengali	Sudip Kumar Naskar and Sivaji Bandyopadhyay	https://aclanthology.org/www.mt-archive.info/05/MTS-2005-Naskar-1.pdf			Posters
An MT System Recycled	Ondřej Bojar and Petr Homola and Vladislav Kuboň	https://aclanthology.org/www.mt-archive.info/05/MTS-2005-Bojar.pdf			Posters
Semi-Automated Elicitation Corpus Generation	Alison Alvarez and Lori Levin and Robert Frederking and Erik Peterson and Jeff Good	https://aclanthology.org/www.mt-archive.info/05/MTS-2005-Alvarez.pdf			Posters
Data Inferred Multi-word Expressions for Statistical Machine Translation	Patrick Lambert and Rafael Banchs	https://aclanthology.org/www.mt-archive.info/05/MTS-2005-Lambert.pdf			Posters
PARSIT-TE: Online Thai-English Machine Translation	Teerapong Modhiran and Krit Kosawat and Supon Klaithin and Monthika Boriboon and Thepchai Supnithi	https://aclanthology.org/www.mt-archive.info/05/MTS-2005-Modhiran.pdf			Posters
Estimating the predictive Power of N-gram MT Evaluation Metrics across Language and Text Types	Bogdan Babych and Anthony Hartley and Debbie Elliott	https://aclanthology.org/www.mt-archive.info/05/MTS-2005-Babych.pdf			Posters
A Useful-based Evaluation of Reading Support Systems: Comprehension, Reading Speed and Effective Speed	Katsunori Kotani and Takehiko Yoshimi and Takeshi Kutsumi and Ichiko Sata and Hiroshi Isahara	https://aclanthology.org/www.mt-archive.info/05/MTS-2005-Kotani.pdf			Posters
Word Alignment Viewer for Long Sentences	Hideki Kashioka	https://aclanthology.org/www.mt-archive.info/05/MTS-2005-Kashioka.pdf			Posters
Comparative Study on Japanese and Uyghur Grammars for an English-Uyghur Machine Translation System	Polat Kadir and Koichi Yamada and Hiroshi Kinukawa	https://aclanthology.org/www.mt-archive.info/05/MTS-2005-Kadir.pdf			Posters
Rapid Ramp-up for Statistical Machine Translation: Minimal Training for Maximal Coverage	Hemali Majithia and Philip Rennart and Evelyne Tzoukermann	https://aclanthology.org/www.mt-archive.info/05/MTS-2005-Majithia.pdf			Posters
Input Normalization for an English-to-Chinese SMS Translation System	Aw AiTi and Zhang Min and Yeo PohKhim and Fan ZhenZhen and Su Jian	https://aclanthology.org/www.mt-archive.info/05/MTS-2005-Aw.pdf			Posters
A Look inside the ITC-irst SMT System	M. Cettolo and M. Federico and N. Bertholdi and R. Cattoni and B. Chen	https://aclanthology.org/www.mt-archive.info/05/MTS-2005-Cettolo.pdf			Posters
Computer-Assisted Multingual E-communication in a Variety of Application Areas	Adriane Rinsche	https://aclanthology.org/www.mt-archive.info/05/MTS-2005-Rinsche.pdf			Posters
Use of Machine Translation in India: Current Status	Sudip Naskar and Sivaji Bandyopadhyay	https://aclanthology.org/www.mt-archive.info/05/MTS-2005-Naskar-2.pdf			Posters
Usability Considerations for a Cellular-based Text Translator	Leslie Barrett and Robert Levin	https://aclanthology.org/www.mt-archive.info/05/MTS-2005-Barrett.pdf			Posters
