Title	Authors	Pdf	Presentation	Volume_Name	Notes
Methods for Smoothing the Optimizer Instability in SMT	Mauro Cettolo and Nicola Bertoldi and Marcello Federico	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Cettolo.pdf			Papers
Training Machine Translation with a Second-Order Taylor Approximation of Weighted Translation Instances	Aaron Phillips and Ralf Brown	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Phillips.pdf			Papers
Maximum Rank Correlation Training for Statistical Machine Translation	Daqi Zheng and Yifan He and Yang Liu and Qun Liu	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Zheng-1.pdf			Papers
POS Tagging of English Particles for Machine Translation	Jianjun Ma and Degen Huang and Haixia Liu and Wenfeng Sheng	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Ma-1.pdf			Papers
Multi-stage Chinese Dependency Parsing Based on Dependency Direction	Wenjing Lang and Qiaoli Zhou and Guiping Zhang and Dongfeng Cai	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Lang.pdf			Papers
Statistic Machine Translation Boosted with Spurious Word Deletion	Shujie Liu and Chi-Ho Li and Ming Zhou	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Liu-1.pdf			Papers
Phonetic Representation-Based Speech Translation	Jie Jiang and Zeeshan Ahmed and Julie Carson-Berndsen and Peter Cahill and Andy Way	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Jiang-1.pdf			Papers
Unsupervised Vocabulary Selection for Domain-Independent Simultaneous Lecture Translation	Paul Maergner and Ian Lane and Alex Waibel	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Maergner.pdf			Papers
Context-aware Language Modeling for Conversational Speech Translation	Avneesh Saluja and Ian Lane and Ying Zhang	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Saluja.pdf			Papers
Incremental Training and Intentional Over-fitting of Word Alignment	Qin Gao and Will Lewis and Chris Quirk and Mei-Yuh Hwang	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Gao.pdf			Papers
Alignment Inference and Bayesian Adaptation for Machine Translation	Kevin Duh and Katsuhito Sudoh and Tomoharu Iwata and Hajime Tsukada	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Duh.pdf			Papers
Multi-Strategy Approaches to Active Learning for Statistical Machine Translation	Vamshi Ambati and Stephan Vogel and Jaime Carbonell	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Ambati.pdf			Papers
Document-level Consistency Verification in Machine Translation	Tong Xiao and Jingbo Zhu and Shujie Yao and Hao Zhang	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Xiao.pdf			Papers
Function Word Generation in Statistical Machine Translation Systems	Lei Cui and Dongdong Zhang and Mu Li and Ming Zhou	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Cui.pdf			Papers
Multimodal Building of Monolingual Dictionaries for Machine Translation by Non-Expert Users	Miquel Esplà-Gomis and Sánchez-Cartagena, Víctor M. and Pérez-Ortiz, Juan Antonio	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Espla-Gomis-1.pdf			Papers
Automatic Post-Editing based on SMT and its selective application by Sentence-Level Automatic Quality Evaluation	Hirokazu Suzuki	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Suzuki.pdf			Papers
Qualitative Analysis of Post-Editing for High Quality Machine Translation	Frédéric Blain and Jean Senellart and Holger Schwenk and Mirko Plitt and Johann Roturier	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Blain.pdf			Papers
Using machine translation in computer-aided translation to suggest the target-side words to change	Miquel Esplà-Gomis and Felipe Sánchez-Martínez and Forcada, Mikel L.	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Espla-Gomis-2.pdf			Papers
A Unified SMT Framework Combining MIRA and MERT	Shujie Liu and Chi-Ho Li and Ming Zhou	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Liu-2.pdf			Papers
Improving Phrase Extraction via MBR Phrase Scoring and Pruning	Nan Duan and Mu Li and Ming Zhou and Lei Cui	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Duan.pdf			Papers
Phrase Segmentation Model using Collocation and Translational Entropy	Hyoung-Gyu Lee and Joo-Young Lee and Min-Jeong Kim and Hae-Chang Rim and Joong-Hwi Shin and Young-Sook Hwang	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Lee.pdf			Papers
Singular or Plural? Exploiting Parallel Corpora for Chinese Number Prediction	Elizabeth Baran and Nianwen Xue	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Baran.pdf			Papers
Handling Multiword Expressions in Phrase-Based Statistical Machine Translation	Santanu Pal and Tanmoy Chakraborty and Sivaji Bandyopadhyay	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Pal.pdf			Papers
Automatic Error Analysis for Morphologically Rich Languages	El Kholy, Ahmed and Nizar Habash	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-ElKholy.pdf			Papers
MT use within the enterprise: Encouraging adoption via a unified MT API	Raymond Flournoy	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Flournoy.pdf			Papers
Deploying MT into a Localisation Workflow: Pains and Gains	Yanli Sun and Juan Liu and Yi Li	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Sun.pdf			Papers
Evaluation of MT Systems to Translate User Generated Content	Johann Roturier and Anthony Bensadoun	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Roturier.pdf			Papers
A Unified and Discriminative Soft Syntactic Constraint Model for Hierarchical Phrase-based Translation	Lemao Liu and Tiejun Zhao and Chao Wang and Hailong Cao	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Liu-3.pdf			Papers
Simple but Effective Approaches to Improving Tree-to-tree Model	Feifei Zhai and Jiajun Zhang and Yu Zhou and Chengqing Zong	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Zhai.pdf			Papers
Unpacking and Transforming Feature Functions: New Ways to Smooth Phrase Tables	Boxing Chen and Roland Kuhn and George Foster and Howard Johnson	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Chen-1.pdf			Papers
Identification and Translation of Significant Patterns for Cross-Domain SMT Applications	Han-Bin Chen and Hen-Hsen Huang and Jengwei Tjiu and Ching-Ting Tan and Hsin-Hsi Chen	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Chen-2.pdf			Papers
Domain Adaptation in Statistical Machine Translation of User-Forum Data using Component Level Mixture Modelling	Pratyush Banerjee and Naskar, Sudip Kumar and Johann Roturier and Andy Way and van Genabith, Josef	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Banerjee.pdf			Papers
Bagging-based System Combination for Domain Adaption	Linfeng Song and Haitao Mi and Yajuan Lü and Qun Liu	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Song.pdf			Papers
Extracting Pre-ordering Rules from Chunk-based Dependency Trees for Japanese-to-English Translation	Xianchao Wu and Katsuhito Sudoh and Kevin Duh and Hajime Tsukada and Masaaki Nagata	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Xu.pdf			Papers
Statistical Post-Editing for a Statistical MT System	Hanna Bechara and Yanjun Ma and van Genabith, Josef	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Bechara.pdf			Papers
Post-ordering in Statistical Machine Translation	Katsuhito Sudoh and Xianchao Wu and Kevin Duh and Hajime Tsukada and Masaaki Nagata	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Sudoh.pdf			Papers
Searching Translation Memories for Paraphrases	Masao Utiyama and Graham Neubig and Takashi Onishi and Eiichiro Sumita	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Utiyama.pdf			Papers
