Title	Authors	Pdf	Presentation	Volume_Name	Notes
Frontmatter		https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Yokoyama-1.pdf			Preface
Machine Translation Project and Activities in EPO “The patent case”	Le Chapelain, Bertrand		https://aclanthology.org/www.mt-archive.info/10/MTS-2011-LeChapelain.pdf		Talk
Expanding the Applications of MT in Patent Translation	Hongfei Jiang		https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Jiang-2.pdf		Talk
Future Plans of Machine Translation System in the JPO	Eiichi Yamamoto		https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Yamamoto.pdf		Talk
Feedback Selecting of Manually Acquired Rules Using Automatic Evaluation	Xianhua Li and Yajuan Lü and Yao Meng and Qun Liu and Hao Yu	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Li-2.pdf			Workshop
Investigation for Translation Disambiguation of Verbs in Patent Sentences using Word Grouping	Shoichi Yokoyama and Yuichi Takano	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Yokoyama-2.pdf			Workshop
Functional Approach for Patent Translation	Hideto Ikeda and Nguyen Thanh Hung and Ze Zhong Li	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Ikeda.pdf			Workshop
Patent translation within the MOLTO project	Cristina España-Bonet and Ramona Enache and Adam Slaski and Aarne Ranta and Lluís Màrquez and Meritxell Gonzàlez	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Espana-Bonet-2.pdf			Workshop
Building a Statistical Machine Translation System for Translating Patent Documents	Jeff Ma and Spyros Matsoukas	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Ma-4.pdf			Workshop
Exploiting Multi-Features for Word Alignment in Patent MT	Li Zezhong and Hideto Ikeda and Nguyen Thanh Hung	https://aclanthology.org/www.mt-archive.info/10/MTS-2011-Zezhong.pdf			Workshop
