Title	Authors	Pdf	Presentation	Volume_Name	Notes
Automated Community Content Editing PorTal (ACCEPT)	Pierrette Bouillon	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-ACCEPT.pdf			European projects
Bologna Translation Service (BOLOGNA)	Van den Bogaert, Joachim and Heidi Depraetere and Van de Walle, Joeri	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-BOLOGNA.pdf			European projects
CASMACAT: Cognitive Analysis and Statistical Methods for Advanced Computer Aided Translation	Philipp Koehn and Michael Carl and Francisco Casacuberta and Eva Marcos	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-CASMACAT.pdf			European projects
Machine Translation in CNGL II	Qun Liu	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-CNGL.pdf			European projects
Bridges Across the Language Divide — EU-BRIDGE Excitement: Exploring Customer Interactions through Textual EntailMENT	Ido Dagan and Bernardo Magnini and Guenter Neumann and Sebastian Pado	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-EUBRIDGE.pdf			European projects
Excitement: Exploring Customer Interactions through Textual EntailMENT	Ido Dagan and Bernardo Magnini and Guenter Neumann and Sebastian Pado	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-EXCITEMENT.pdf			European projects
Pangeanic in the EXPERT Project: Exploiting Empirical appRoaches to Translation	Manuel Herranz and Alex Helle and Elia Yuste and Ruslan Mitkov and Lucia Specia	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-EXPERT.pdf			European projects
FAUST: Feedback Analysis for User Adaptive Statistical Translation	William Byrne and Lluis Marquez	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-FAUST.pdf			European projects
LT-Web: Metadata for the Multilingual Web: Introducing Internationalization Tag Set (ITS) 2.0 MATECAT: Machine Translation Enhanced Computer Assisted Translation	META - Multilingual Europe Technology Alliance	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-Sasaki.pdf			European projects
MATECAT: Machine Translation Enhanced Computer Assisted Translation META - Multilingual Europe Technology Alliance	Georg Rehm and Aljoscha Burchardt and Felix Sasaki	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-Matecat.pdf			European projects
META - Multilingual Europe Technology Alliance	Georg Rehm and Aljoscha Burchardt and Felix Sasaki	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-META.pdf			European projects
MOLTO - Multilingual On Line Translation	Aarne Ranta	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-MOLTO.pdf			European projects
MONNET: Multilingual Ontologies for Networked Knowledge	Mihael Arcan and Paul Buitelaar	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-MONNET.pdf			European projects
MosesCore: Moses Open Source Evaluation and Support Co-ordination for OutReach and Exploitation PANACEA: Platform for Automatic, Normalised Annotation and Cost-Effective Acquisition of Language Resources for Human Language Technologies	Nuria Bel and Marc Poch and Antonio Toral	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-MosesCore.pdf			European projects
PANACEA: Platform for Automatic, Normalised Annotation and Cost-Effective Acquisition of Language Resources for Human Language Technologies	Nuria Bel and Marc Poch and Antonio Toral	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-PANACEA.pdf			European projects
A Review of the PRESEMT project	George Tambouratzis and Marina Vassiliou and Sokratis Sofianopoulos........	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-PRESEMT.pdf			European projects
QTLaunchpad	Stephen Doherty and Declan Groves and van Genabith, Josef and Arle Lommel and Aljoscha Burchardt and Hans Uszkoreit and Lucia Specia and Stelios Piperidis	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-QTLaunchPad.pdf			European projects
SIGNSPEAK: Scientific Understanding and Vision-based Technological Development for Continuous Sign Language Recognition and Translation	Jens Forster and Christoph Schmidt and Hermann Ney	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-SIGNSPEAK.pdf			European projects
SUMAT: An Online Service for Subtitling by Machine Translation	P. Georgakopoulou and L. Bywood and Thierry Etchegoyen and Mark Fishel and Jie Jiang and van Loenhout, G. and del Pozo, A. and D. Spiliotopoulos and Maucec, Mirjam Sepesy and A. Turner	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-SUMAT.pdf			European projects
TaaS: Terminology as a Service	Andrejs Vasiljevs and Tatiana Gornostay	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-TaaS.pdf			European projects
transLectures: Transcription and Translation of Video Lectures TTC: Terminology Extraction, Translation Tools and Comparable Corpora	Cross-lingual Knowledge Extraction	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-transLectures.pdf			European projects
TTC: Terminology Extraction, Translation Tools and Comparable Corpora Cross-lingual Knowledge Extraction (XLike)	Workshops	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-TTC.pdf			European projects
Cross-lingual Knowledge Extraction (XLike)	Workshops	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-XLIKE.pdf			European projects
