Title	Authors	Pdf	Presentation	Volume_Name	Notes
Analyzing and Predicting MT Utility and Post-Editing Productivity in Enterprise-scale Translation Projects	Alon Lavie and Olga Beregovaya and Michael Denkowski and David Clarke	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-Lavie.pdf			User track - Oral presentations
A Technology-agnostic Approach to Machine Translation	Lori Thicke	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-Thicke.pdf			User track - Oral presentations
COACH: Designing a new CAT tool with Translator Interaction	Laura Bota and Christoph Schneider and Andy Way	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-Bota.pdf			User track - Oral presentations
Hybrid Domain Adaptation for a Rule Based MT System	Petra Wolf and Ulrike Bernardi	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-Wolf.pdf			User track - Oral presentations
Implementing ITS 2.0 for Post-editing Purposes	Celia Rico and Diez Orzas, Pedro L. and Felix Sasaki	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-Rico.pdf			User track - Oral presentations
ROI Analysis Model for Language Service Providers	Ekaterina Stambolieva	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-Stambolieva.pdf			User track - Oral presentations
Large-scale Multiple Language Translation Accelerator at the United Nations	Bruno Pouliquen and Cecilia Elizalde and Marcin Junczys-Dowmunt and Christophe Mazenc and Jose Garcia-Verdugo	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-Pouliquen.pdf			User track - Oral presentations
Let'sMT! as a Learning Platform for SMT	Hanne Fersøe and Hansen, Dorte Haltrup and Lene Offersgaard and Susi Olsen and Claus Povlsen	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-Fersoe.pdf			User track - Oral presentations
User Evaluation of Advanced Interaction Features for a Computer-Assisted Translation Workbench	Vicente Alabau and Jesus Gonzalez-Rubio and Leiva, Luis A. and Daniel Ortiz-Martínez and German Sanchis-Trilles and Francisco Casacuberta and Bartolomé Mesa-Lao and Ragnar Bonk and Michael Carl and Mercedes Garcia-Martinez	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-Alabau.pdf			User track - Oral presentations
SMT Approaches for Commercial Translation of Subtitles	Thierry Etchegoyhen and Mark Fishel and Jie Jiang and Mirjam Sepesy Maucec	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-Etchegoyhen.pdf			User track - Oral presentations
Connectivity, Adaptability, Productivity, Quality, Price... What are the Necessary Ingredients to get the MT Recipe Right?	Laura Casanellas and Lena Marg	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-Casanellas.pdf			User track - Oral presentations
Productivity or Quality? Let's do both!	Van den Bogaert, Joachim and De Sutter, Nathalie	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-Sutter.pdf			User track - Oral presentations
Streamlining Terminology Management in an RBMT Context	Horst Liebscher and Thomas Senf	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-Liebscher.pdf			User track - Oral presentations
Using MT as Enabler for Differentiated Quality Levels	Eric Blassin and Rafa Moral	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-Blassin-abs.pdf			User track - Oral presentations
IBM Germany Using RMT	Sigrun Gehrig	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-Gehrig.pdf			User track - Oral presentations
USE CASE: Customization and Collaboration to Enhance MT for a Knowledge Base Online Portal	Chris Wendt and Federico Garcea	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-Wendt.pdf			User track - Oral presentations
