Title	Authors	Pdf	Presentation	Volume_Name	Notes
This translation is not too bad: an analysis of post-editor choices in a machine-translation post-editing task	Maarit Koponen	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-W2-Koponen.pdf 			Paper
What can we learn about the selection mechanism for post-editing?	Maja Popović and Eleftherios Avramidis and Aljoscha Burchardt and David Vilar and Hans Uszkoreit	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-W2-Popovic.pdf 			Paper
User attitudes to the post-editing interface	Joss Moorkens and Sharon O’Brien	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-W2-Moorkens.pdf 			Paper
Integrated post-editing and translation management for lay user communities	Adrian Laurenzi and Megumu Brownstein and Turner, Anne M. and Katrin Kirchhoff	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-W2-Laurenzi.pdf 			Paper
Community-based post-editing of machine-translated content: monolingual vs. bilingual	Linda Mitchell and Johann Roturier and Sharon O’Brien	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-W2-Mitchell.pdf 			Paper
Combining pre-editing and post-editing to improve SMT of user-generated content	Johanna Gerlach and Victoria Porro and Pierrette Bouillon and Sabine Lehmann	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-W2-Gerlach.pdf 			Paper
Advanced computer aided translation with a web-based workbench	Vicent Alabau and Ragnar Bonk and Christian Buck and Michael Carl and Francisco Casacuberta and Mercedes García-Martínez and Jesús González and Philipp Koehn and Luis Leiva and Bartolomé Mesa-Lao and Daniel Oriz and Hervé Saint-Amand and Germán Sanchis and Chara Tsiukala	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-W2-Alabau.pdf 			Paper
Quality as the sum of its parts: a two-step approach for the identification of translation problems and translation quality assessment for HT and MT+PE	Joke Daems and Lieve Macken and Sonia Vandepitte	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-W2-Daems.pdf 			Paper
Transferring markup tags in statistical machine translation: a two-stream approach	Eric Joanis and Darlene Stewart and Samuel Larkin and Roland Kuhn	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-W2-Joanis.pdf 			Paper
Assessing post-editing efficiency in a realistic translation environment	Samuel Läubli and Mark Fishel and Gary Massey and Maureen Ehrensberger-Dow and Martin Volk	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-W2-Laubli.pdf 			Paper
An evaluation of tools for post-editing research: the current picture and future needs	Nunes Vieira, Lucas	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-W2-Nunes.pdf 			Paper
Online production of HQ parallel corpora and permanent task-based evaluation of multiple MT systems: both can be obtained through iMAGs with no added cost	Lingxiao Wang and Christian Boitet	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-W2-Wang.pdf 			Paper
Issues in incremental adaptation of statistical MT from human post-edits	Mauro Cettolo and Christophe Servan and Nicola Bertoldi and Marcello Federico and Loïc Barrault and Holger Schwenk	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-W2-Cettolo.pdf 			Paper
The ACCEPT post-editing environment: a flexible and customisable online tool to perform and analyse machine translation post-editing	Johann Roturier and Linda Mitchell and David Silva	https://aclanthology.org/www.mt-archive.info/10/MTS-2013-W2-Roturier.pdf 			Paper
