Title	Authors	Pdf	Presentation	Volume_Name	Notes
MT at NetApp – this is how we do it	Edith Bendermacher and Pablo Vázquez	https://aclanthology.org/www.mt-archive.info/15/MTS-2015-Bendermacher.pdf		Vol.2: MT Users’ Track	Vol.2: MT Users’ Track
Machine translation in mobile games: augmenting social media text normalization with incentivized feedback	Nikhil Bojja and Arun Nedunchezhian and Pidong Wang	https://aclanthology.org/www.mt-archive.info/15/MTS-2015-Bojja.pdf		Vol.2: MT Users’ Track	Vol.2: MT Users’ Track
Why are we (still) waiting? What premium translators need to use MT effectively	Robin Bonthrone and Konstantin Lakshin	https://aclanthology.org/www.mt-archive.info/15/MTS-2015-Bonthrone.pdf		Vol.2: MT Users’ Track	Vol.2: MT Users’ Track
Machine translation and terminology management [abstract]	Jennifer DeCamp	https://aclanthology.org/www.mt-archive.info/15/MTS-2015-DeCamp.pdf		Vol.2: MT Users’ Track	Vol.2: MT Users’ Track
MT quality estimation for e-commerce data	de Souza, José G. C. and Marcello Federico and Hassan Sawaf	https://aclanthology.org/www.mt-archive.info/15/MTS-2015-DeSouza.pdf		Vol.2: MT Users’ Track	Vol.2: MT Users’ Track
Yandex.Translate approach to the translation of Turkic languages [abstract	Irina Galinskaya and Farkhat Aminov			Vol.2: MT Users’ Track	Vol.2: MT Users’ Track
Solving specific content challenges with flexible machine translation	Quinn Lam	https://aclanthology.org/www.mt-archive.info/15/MTS-2015-Lam.pdf		Vol.2: MT Users’ Track	Vol.2: MT Users’ Track
Quality evaluation of four translations of a kidney document: focus on reliability	Melby, Alan K.	https://aclanthology.org/www.mt-archive.info/15/MTS-2015-Melby.pdf		Vol.2: MT Users’ Track	Vol.2: MT Users’ Track
A survey of usage environment of machine translation by professional translators	Tomoki Nagase and Tatsuhiro Kudoh and Katsunori Kotani and Wenjun ye and Takeshi Mori and Yoshiyuki Sakamoto and Nobutoshi Hatanaka and Takamitsu Takeda and Shu Hirata and Hiromi Nakaiwa	https://aclanthology.org/www.mt-archive.info/15/MTS-2015-Nagase.pdf		Vol.2: MT Users’ Track	Vol.2: MT Users’ Track
Machine translation for enterprise technical communications – a journey of discovery	Morgan O’Brien and Ana Duarte	https://aclanthology.org/www.mt-archive.info/15/MTS-2015-OBrien.pdf		Vol.2: MT Users’ Track	Vol.2: MT Users’ Track
MT quality evaluations: from test environment to production	Elaine O’Curran	https://aclanthology.org/www.mt-archive.info/15/MTS-2015-OCurran.pf		Vol.2: MT Users’ Track	Vol.2: MT Users’ Track
Enterprise application of MT: progress and challenges	Craig Plesco and Nestor Rychtyckyj	https://aclanthology.org/www.mt-archive.info/15/MTS-2015-Plesco.pdf		Vol.2: MT Users’ Track	Vol.2: MT Users’ Track
Machine translation quality estimation: a linguist’s approach	Juan Rowda	https://aclanthology.org/www.mt-archive.info/15/MTS-2015-Rowda.pdf		Vol.2: MT Users’ Track	Vol.2: MT Users’ Track
Industry shared metrics with the TAUS dynamic quality dashboard and API	Achim Ruopp	https://aclanthology.org/www.mt-archive.info/15/MTS-2015-Ruopp.pdf		Vol.2: MT Users’ Track	Vol.2: MT Users’ Track
Accurately predicting post-editing time & labor for cost management	Carla Schelfhout	https://aclanthology.org/www.mt-archive.info/15/MTS-2015-Schelfout.pdf		Vol.2: MT Users’ Track	Vol.2: MT Users’ Track
Beyond rext, machine translation and NLP for e-discovery [abstract]	Jean Sennellart and Denis Gachot and Joshua Johanson	https://aclanthology.org/www.mt-archive.info/15/MTS-2015-Sennelart.pdf		Vol.2: MT Users’ Track	Vol.2: MT Users’ Track
Designing user experience for machine translated conversations	Tanvi Surti	https://aclanthology.org/www.mt-archive.info/15/MTS-2015-Surti.pdf		Vol.2: MT Users’ Track	Vol.2: MT Users’ Track
How much cake is enough: the case for domain-specific engines	Alex Yanishevsky	https://aclanthology.org/www.mt-archive.info/15/MTS-2015-Yanishevsky.pdf		Vol.2: MT Users’ Track	Vol.2: MT Users’ Track
Productivity promotion strategies for collaborative translation on huge volume technical documents	Guiping Zhang and Na Ye and Fang Cai and Chuang Wu and Xiangkui Sun and Jinfu Yuan and Dongfeng Cai	https://aclanthology.org/www.mt-archive.info/15/MTS-2015-Zhang.pdf		Vol.2: MT Users’ Track	Vol.2: MT Users’ Track
A machine-assisted human translation system for technical documents	Vishwajeet Kumar and Ashish Kulkarni and Pankaj Singh and Ganesh Ramakrishnan and Ganesh Arnaal	https://aclanthology.org/www.mt-archive.info/15/MTS-2015-Kumar-1.pdf		Vol.2: MT Users’ Track	Vol.2: MT Users’ Track
